12351138 110767 4050 2010-04-09 14:31:47.000 2319205 176203 thebairdman@AFS 1 0 New Game -1 NULL
12351139 110767 4050 2010-04-09 14:34:32.000 2307898 115056 Edmond@SysX 1 0 New Game -1 NULL
12351140 110767 2029 2010-04-09 14:38:14.000 1 33531 OneManBucket@XT's game 6 0 NULL -1 NULL
12351141 110767 4050 2010-04-09 14:38:21.000 2317296 43884 Gstar@ACE 1 33531 OneManBucket@XT's game -1 NULL
12351142 110767 4050 2010-04-09 14:38:26.000 2305380 14413 Daemonium 1 33531 OneManBucket@XT's game -1 NULL
12351143 110767 4060 2010-04-09 14:38:28.000 2304706 46046 Til 0 0 Team 1 -1 NULL
12351144 110767 4050 2010-04-09 14:38:32.000 -17444 170176 French_Touch 1 33531 OneManBucket@XT's game -1 NULL
12351145 110767 4060 2010-04-09 14:38:32.000 2312689 3922 *Champyx@GB 1 0 NULL -1 NULL
12351146 110767 4060 2010-04-09 14:38:47.000 -17444 170176 French_Touch 0 0 Team 1 -1 NULL
12351147 110767 4050 2010-04-09 14:38:55.000 2316021 93868 ^Yungmoose@BS 1 33531 OneManBucket@XT's game -1 NULL
12351148 110767 4060 2010-04-09 14:39:27.000 2305380 14413 Daemonium 1 0 NULL -1 NULL
12351149 110767 4060 2010-04-09 14:40:08.000 2316021 93868 ^Yungmoose@BS 1 0 NULL -1 NULL
12351150 110767 302 2010-04-09 14:40:56.000 23265280 150847 Phantom032@SysX 25559040 115056 Edmond@SysX 0 4.048
12351151 110767 203 2010-04-09 14:41:05.000 1 33531 OneManBucket@XT's game 1 0 NULL -1 Teleport
12351152 110767 4050 2010-04-09 14:41:25.000 -22911 172082 wank 1 33531 OneManBucket@XT's game -1 NULL
12351153 110767 203 2010-04-09 14:41:27.000 1 33531 OneManBucket@XT's game 0 0 Team 1 -1 Teleport (Lt)
12351154 110767 4061 2010-04-09 14:42:06.000 2307898 115056 Edmond@SysX 1 0 NULL -1 NULL
12351155 110767 203 2010-04-09 14:42:25.000 1 33531 OneManBucket@XT's game 0 0 Team 1 -1 Refinery (Lt)
12351156 110767 203 2010-04-09 14:42:32.000 1 33531 OneManBucket@XT's game 1 0 NULL -1 Refinery
12351157 110767 4060 2010-04-09 14:42:45.000 2317296 43884 Gstar@ACE 1 0 NULL -1 NULL
12351158 110767 4050 2010-04-09 14:43:05.000 2307640 40631 FreakyStyley 1 33531 OneManBucket@XT's game -1 NULL
12351159 110767 4060 2010-04-09 14:43:13.000 2297586 30858 MoGas@RT 0 0 Team 1 -1 NULL
12351160 110767 203 2010-04-09 14:43:48.000 1 33531 OneManBucket@XT's game 0 0 Team 1 -1 Outpost (Lt)
12351161 110767 4050 2010-04-09 14:43:49.000 2324082 115056 Edmond 1 33531 OneManBucket@XT's game -1 NULL
